id,name,value,avg_revenue,avg_bills,industry
151,Evans School,5646284.96,1882094.99,1599780.74,Education
152,Everett School,5646284.96,1882094.99,1599780.74,Education
153,F D Roosevelt Junior High School,5646284.96,1882094.99,1599780.74,Education
154,Fairfield School,5646284.96,1882094.99,1599780.74,Education
155,Fairview School,5646284.96,1882094.99,1599780.74,Education
156,Farrell Elementary School,5646284.96,1882094.99,1599780.74,Education
157,Father Judge High School,5646284.96,1882094.99,1599780.74,Education
158,Feltonville School,5646284.96,1882094.99,1599780.74,Education
159,Finletter School,5646284.96,1882094.99,1599780.74,Education
160,Forrest School,5646284.96,1882094.99,1599780.74,Education
161,Fretz School,5646284.96,1882094.99,1599780.74,Education
162,Horace Furness Junior High School,5646284.96,1882094.99,1599780.74,Education
163,Good Intent School,5646284.96,1882094.99,1599780.74,Education
164,Gotwalls School,5646284.96,1882094.99,1599780.74,Education
165,Mastery Charter at Simon Gratz High School,5646284.96,1882094.99,1599780.74,Education
166,Green Lane-Marlborough School,5646284.96,1882094.99,1599780.74,Education
167,Groveland School,5646284.96,1882094.99,1599780.74,Education
168,Harding Junior High School,5646284.96,1882094.99,1599780.74,Education
169,Harrington School,5646284.96,1882094.99,1599780.74,Education
170,Harris School,5646284.96,1882094.99,1599780.74,Education
171,Hartranft School,5646284.96,1882094.99,1599780.74,Education
172,Hay School,5646284.96,1882094.99,1599780.74,Education
173,Hebrew School,5646284.96,1882094.99,1599780.74,Education
174,Henderson Road School,5646284.96,1882094.99,1599780.74,Education
175,Herring School,5646284.96,1882094.99,1599780.74,Education
176,High Street School,5646284.96,1882094.99,1599780.74,Education
177,Highfield School,5646284.96,1882094.99,1599780.74,Education
178,Hill Street School,5646284.96,1882094.99,1599780.74,Education
179,Hilltown School,5646284.96,1882094.99,1599780.74,Education
180,Holland School,5646284.96,1882094.99,1599780.74,Education
181,Holy Angels School,5646284.96,1882094.99,1599780.74,Education
182,Holy Child Academy,5646284.96,1882094.99,1599780.74,Education
183,Holy Cross School,5646284.96,1882094.99,1599780.74,Education
184,Holy Family School,5646284.96,1882094.99,1599780.74,Education
185,Holy Innocents School,5646284.96,1882094.99,1599780.74,Education
186,Holy Saviour School,5646284.96,1882094.99,1599780.74,Education
187,Holy Spirit School,5646284.96,1882094.99,1599780.74,Education
188,Holy Trinity School,5646284.96,1882094.99,1599780.74,Education
189,Hope Lutheran Church and Christian School,5646284.96,1882094.99,1599780.74,Education
190,Hopkinson School,5646284.96,1882094.99,1599780.74,Education
191,El Centro de Estudiantes,5646284.96,1882094.99,1599780.74,Education
192,Hursicker School,5646284.96,1882094.99,1599780.74,Education
193,Incarnation School,5646284.96,1882094.99,1599780.74,Education
194,Jackson School,5646284.96,1882094.99,1599780.74,Education
195,Jacobs School,5646284.96,1882094.99,1599780.74,Education
196,Kedron School,5646284.96,1882094.99,1599780.74,Education
197,Kimberton Farm School,5646284.96,1882094.99,1599780.74,Education
198,Building 21 Philadelphia,5646284.96,1882094.99,1599780.74,Education
199,Knauss School,5646284.96,1882094.99,1599780.74,Education
200,La Salle University,5646284.96,1882094.99,1599780.74,Education
201,Lafayette Elementary School,5646284.96,1882094.99,1599780.74,Education
202,Lady of Angels School,5646284.96,1882094.99,1599780.74,Education
203,Lafayette School,5646284.96,1882094.99,1599780.74,Education
204,Laudenslager School,5646284.96,1882094.99,1599780.74,Education
205,Lehigh University,5646284.96,1882094.99,1599780.74,Education
206,Leiberts School,5646284.96,1882094.99,1599780.74,Education
207,Leiperville School,5646284.96,1882094.99,1599780.74,Education
208,Lester School,5646284.96,1882094.99,1599780.74,Education
209,Liberty School,5646284.96,1882094.99,1599780.74,Education
210,Lincoln School,5646284.96,1882094.99,1599780.74,Education
211,Linwood Elementary School,5646284.96,1882094.99,1599780.74,Education
212,Little Flower High School,5646284.96,1882094.99,1599780.74,Education
213,Livingston School,5646284.96,1882094.99,1599780.74,Education
214,Longstreth School,5646284.96,1882094.99,1599780.74,Education
215,Lourtown School,5646284.96,1882094.99,1599780.74,Education
216,Mastery Charter School at Mann Elementary School,5646284.96,1882094.99,1599780.74,Education
217,Marshall School,5646284.96,1882094.99,1599780.74,Education
218,Mary W Devine School,5646284.96,1882094.99,1599780.74,Education
219,Mason Street School,5646284.96,1882094.99,1599780.74,Education
220,Merion Mercy Academy,5646284.96,1882094.99,1599780.74,Education
221,Alexander K. McClure Elementary School,5646284.96,1882094.99,1599780.74,Education
222,McIntyre School,5646284.96,1882094.99,1599780.74,Education
223,McKinley William School,5646284.96,1882094.99,1599780.74,Education
224,Melrose Academy,5646284.96,1882094.99,1599780.74,Education
225,Melrose Park School,5646284.96,1882094.99,1599780.74,Education
226,Weir Mitchell Elementary School,5646284.96,1882094.99,1599780.74,Education
227,Monocacy School,5646284.96,1882094.99,1599780.74,Education
228,Moravian University,5646284.96,1882094.99,1599780.74,Education
229,Morton Street School,5646284.96,1882094.99,1599780.74,Education
230,Myers School,5646284.96,1882094.99,1599780.74,Education
231,Nativity School,5646284.96,1882094.99,1599780.74,Education
232,New Life School,5646284.96,1882094.99,1599780.74,Education
233,New Sharon School,5646284.96,1882094.99,1599780.74,Education
234,North Glenside School,5646284.96,1882094.99,1599780.74,Education
235,North Hills School,5646284.96,1882094.99,1599780.74,Education
236,North Montco Technical Career Center,5646284.96,1882094.99,1599780.74,Education
237,Notre Dame De Lourds School,5646284.96,1882094.99,1599780.74,Education
238,Oakdale School,5646284.96,1882094.99,1599780.74,Education
239,Olney Elementary School,5646284.96,1882094.99,1599780.74,Education
240,Our Lady of Calvary School,5646284.96,1882094.99,1599780.74,Education
241,Our Lady of Charity School,5646284.96,1882094.99,1599780.74,Education
242,Our Lady of Fatima School,5646284.96,1882094.99,1599780.74,Education
243,Ad Prima Charter School,5646284.96,1882094.99,1599780.74,Education
244,Boys' Latin of Philadelphia Middle School,5646284.96,1882094.99,1599780.74,Education
245,Our Lady of Victory School,5646284.96,1882094.99,1599780.74,Education
246,Our Lady of Consolation School,5646284.96,1882094.99,1599780.74,Education
247,Our Lady of Grace School,5646284.96,1882094.99,1599780.74,Education
248,Our Lady of Peace School,5646284.96,1882094.99,1599780.74,Education
249,Our Lady of Perpetual Help School,5646284.96,1882094.99,1599780.74,Education
250,Our Mother of Sorrows School,5646284.96,1882094.99,1599780.74,Education
251,Francis D. Pastorius Elementary School,5646284.96,1882094.99,1599780.74,Education
252,Pathway School,5646284.96,1882094.99,1599780.74,Education
253,John M. Patterson Elementary School,5646284.96,1882094.99,1599780.74,Education
254,Pennwood Middle School,5646284.96,1882094.99,1599780.74,Education
255,Widener University,5646284.96,1882094.99,1599780.74,Education
256,Pennypacker School,5646284.96,1882094.99,1599780.74,Education
257,The City School at Spruce Hill,5646284.96,1882094.99,1599780.74,Education
258,Potter-Thomas Elementary School,5646284.96,1882094.99,1599780.74,Education
259,Queen of Peace School,5646284.96,1882094.99,1599780.74,Education
260,River Crest School,5646284.96,1882094.99,1599780.74,Education
261,Rocky Ridge School,5646284.96,1882094.99,1599780.74,Education
262,Roosevelt School,5646284.96,1882094.99,1599780.74,Education
263,Rosemont School,5646284.96,1882094.99,1599780.74,Education
264,William Rowen Elementary School,5646284.96,1882094.99,1599780.74,Education
265,Sacred Heart School,5646284.96,1882094.99,1599780.74,Education
266,Our Lady of Port Richmond Regional School,5646284.96,1882094.99,1599780.74,Education
267,Saint Alice School,5646284.96,1882094.99,1599780.74,Education
268,Saint Alphonsus School,5646284.96,1882094.99,1599780.74,Education
269,Saint Ambrose School,5646284.96,1882094.99,1599780.74,Education
270,Saint Andrews School,5646284.96,1882094.99,1599780.74,Education
271,Saint Anselms School,5646284.96,1882094.99,1599780.74,Education
272,Saint Augustines School,5646284.96,1882094.99,1599780.74,Education
273,Laboratory Charter School of Communications and Languages,5646284.96,1882094.99,1599780.74,Education
274,Saint Bartholomews School,5646284.96,1882094.99,1599780.74,Education
275,Saint Katherine Drexel Regional School,5646284.96,1882094.99,1599780.74,Education
276,Saint Bernard's School,5646284.96,1882094.99,1599780.74,Education
277,Saint Bridgets School,5646284.96,1882094.99,1599780.74,Education
278,Saint Callistus School,5646284.96,1882094.99,1599780.74,Education
279,Saint Carthages School,5646284.96,1882094.99,1599780.74,Education
280,Saint Catherines School,5646284.96,1882094.99,1599780.74,Education
281,Saint Cecilias School,5646284.96,1882094.99,1599780.74,Education
282,Saint Charles School,5646284.96,1882094.99,1599780.74,Education
283,Saint Clements School,5646284.96,1882094.99,1599780.74,Education
284,Saint Martin de Porres School,5646284.96,1882094.99,1599780.74,Education
285,Saint Denis School,5646284.96,1882094.99,1599780.74,Education
286,Saint Dominic's School,5646284.96,1882094.99,1599780.74,Education
287,Saint Frances Cabrini Regional Catholic School,5646284.96,1882094.99,1599780.74,Education
288,Saint Dorothy School,5646284.96,1882094.99,1599780.74,Education
289,Saint Edwards School,5646284.96,1882094.99,1599780.74,Education
290,Saint Elizabeth Convent,5646284.96,1882094.99,1599780.74,Education
291,Saint Eugene School,5646284.96,1882094.99,1599780.74,Education
292,Saint Francis of Assisi School,5646284.96,1882094.99,1599780.74,Education
293,Saint Francis School,5646284.96,1882094.99,1599780.74,Education
294,Saint Francis Vocational School,5646284.96,1882094.99,1599780.74,Education
295,Saint Francis Xavier School,5646284.96,1882094.99,1599780.74,Education
296,Saint Gabriels School,5646284.96,1882094.99,1599780.74,Education
297,Saint Gabriel's School,5646284.96,1882094.99,1599780.74,Education
298,Saint Genevieve School,5646284.96,1882094.99,1599780.74,Education
299,Saint Hedwig's School,5646284.96,1882094.99,1599780.74,Education
300,Saint Helena School,5646284.96,1882094.99,1599780.74,Education
301,Saint Helenas School,5646284.96,1882094.99,1599780.74,Education
302,Cayuga Elementary School,5646284.96,1882094.99,1599780.74,Education
303,Saint Huberts High School,5646284.96,1882094.99,1599780.74,Education
304,Saint Hughs School,5646284.96,1882094.99,1599780.74,Education
305,Saint James High School,5646284.96,1882094.99,1599780.74,Education
306,Saint James School,5646284.96,1882094.99,1599780.74,Education
307,Saint John of the Cross School,5646284.96,1882094.99,1599780.74,Education
308,Saint Johns School,5646284.96,1882094.99,1599780.74,Education
309,Saint Joseph School,5646284.96,1882094.99,1599780.74,Education
310,Saint Josephat School,5646284.96,1882094.99,1599780.74,Education
311,Saint Josephs School,5646284.96,1882094.99,1599780.74,Education
312,Saint Katherines School,5646284.96,1882094.99,1599780.74,Education
313,Saint Kevin School,5646284.96,1882094.99,1599780.74,Education
314,Saint Ladislaus School,5646284.96,1882094.99,1599780.74,Education
315,Saint Leo's School,5646284.96,1882094.99,1599780.74,Education
316,Saint Louis School,5646284.96,1882094.99,1599780.74,Education
317,Saint Lukes School,5646284.96,1882094.99,1599780.74,Education
318,Saint Madeline School,5646284.96,1882094.99,1599780.74,Education
319,St. Malachy Catholic School,5646284.96,1882094.99,1599780.74,Education
320,Saint Margaret Marys School,5646284.96,1882094.99,1599780.74,Education
321,Saint Margarets Vocational School,5646284.96,1882094.99,1599780.74,Education
322,Saint Marie Goretti School,5646284.96,1882094.99,1599780.74,Education
323,Saint Mary Magdalen School,5646284.96,1882094.99,1599780.74,Education
324,Saint Mary School,5646284.96,1882094.99,1599780.74,Education
325,Saint Marys School,5646284.96,1882094.99,1599780.74,Education
326,Saint Matthews School,5646284.96,1882094.99,1599780.74,Education
327,Saint Michael School,5646284.96,1882094.99,1599780.74,Education
328,Saint Monicas School,5646284.96,1882094.99,1599780.74,Education
329,Saint Raymonds School,5646284.96,1882094.99,1599780.74,Education
330,Drexel Neumann Academy,5646284.96,1882094.99,1599780.74,Education
331,Saint Simons School,5646284.96,1882094.99,1599780.74,Education
332,Saint Stanislaus School,5646284.96,1882094.99,1599780.74,Education
333,Multi-Cultural Academy Charter High School,5646284.96,1882094.99,1599780.74,Education
334,Saint Thomas Aquinas School,5646284.96,1882094.99,1599780.74,Education
335,Saint Thomas School,5646284.96,1882094.99,1599780.74,Education
336,St. Rose of Lima School,5646284.96,1882094.99,1599780.74,Education
337,Saint Veronicas School,5646284.96,1882094.99,1599780.74,Education
338,Saint Williams School,5646284.96,1882094.99,1599780.74,Education
339,Salem School,5646284.96,1882094.99,1599780.74,Education
340,Salford Hills Elementary School,5646284.96,1882094.99,1599780.74,Education
341,Schallcross School,5646284.96,1882094.99,1599780.74,Education
342,Royer-Greaves School for Blind,5646284.96,1882094.99,1599780.74,Education
343,Shady Grove Elementary School,5646284.96,1882094.99,1599780.74,Education
344,George Sharswood School,5646284.96,1882094.99,1599780.74,Education
345,Mastery Charter School: Hardy Williams Campus,5646284.96,1882094.99,1599780.74,Education
346,Shipley School,5646284.96,1882094.99,1599780.74,Education
347,Shoemaker Junior High School,5646284.96,1882094.99,1599780.74,Education
348,Sleighton Farm School,5646284.96,1882094.99,1599780.74,Education
349,Smedley School,5646284.96,1882094.99,1599780.74,Education
350,Snyder Elementary School,5646284.96,1882094.99,1599780.74,Education
351,Solebury School,5646284.96,1882094.99,1599780.74,Education
352,Spring-Ford Intermediate School,5646284.96,1882094.99,1599780.74,Education
353,Springfield High School,5646284.96,1882094.99,1599780.74,Education
354,Springfield School,5646284.96,1882094.99,1599780.74,Education
355,KIPP Philadelphia Preparatory Academy - Rowan Campus,5646284.96,1882094.99,1599780.74,Education
356,Edward T. Steel School,5646284.96,1882094.99,1599780.74,Education
357,Stephen Decatur School,5646284.96,1882094.99,1599780.74,Education
358,Stetser Elementary School,5646284.96,1882094.99,1599780.74,Education
359,Stevens School,5646284.96,1882094.99,1599780.74,Education
360,Stony Creek School,5646284.96,1882094.99,1599780.74,Education
361,Sullivan School,5646284.96,1882094.99,1599780.74,Education
362,Sun Valley High School,5646284.96,1882094.99,1599780.74,Education
363,Bayard Taylor Elementary School,5646284.96,1882094.99,1599780.74,Education
364,Tilden Junior High School,5646284.96,1882094.99,1599780.74,Education
365,Toby Farms School,5646284.96,1882094.99,1599780.74,Education
366,Trail School,5646284.96,1882094.99,1599780.74,Education
367,Twin Oaks School,5646284.96,1882094.99,1599780.74,Education
368,Upper Providence School,5646284.96,1882094.99,1599780.74,Education
369,Ursinus College,5646284.96,1882094.99,1599780.74,Education
370,Villa Joseph Marie High School,5646284.96,1882094.99,1599780.74,Education
371,Vincent School,5646284.96,1882094.99,1599780.74,Education
372,Visitation School,5646284.96,1882094.99,1599780.74,Education
373,Wagner Junior High School,5646284.96,1882094.99,1599780.74,Education
374,Washington School,5646284.96,1882094.99,1599780.74,Education
375,Webster School,5646284.96,1882094.99,1599780.74,Education
376,John Welsh Elementary School,5646284.96,1882094.99,1599780.74,Education
377,Westminster Theological Seminary,5646284.96,1882094.99,1599780.74,Education
378,Blue Bell Elementary School,5646284.96,1882094.99,1599780.74,Education
379,Willard School,5646284.96,1882094.99,1599780.74,Education
380,Williams School,5646284.96,1882094.99,1599780.74,Education
381,Williamson College of the Trades,5646284.96,1882094.99,1599780.74,Education
382,Wright School,5646284.96,1882094.99,1599780.74,Education
383,Wyndmoor School,5646284.96,1882094.99,1599780.74,Education
384,Bryn Athyn Academy,5646284.96,1882094.99,1599780.74,Education
385,Klinger Middle School,5646284.96,1882094.99,1599780.74,Education
386,Temple University,5646284.96,1882094.99,1599780.74,Education
387,Slate Valley School,5646284.96,1882094.99,1599780.74,Education
388,Strohls School,5646284.96,1882094.99,1599780.74,Education
389,Greenzweig School,5646284.96,1882094.99,1599780.74,Education
390,Eckhardt School,5646284.96,1882094.99,1599780.74,Education
391,Ash School,5646284.96,1882094.99,1599780.74,Education
392,Union School,5646284.96,1882094.99,1599780.74,Education
393,Oxford School,5646284.96,1882094.99,1599780.74,Education
394,Mount Vernon School,5646284.96,1882094.99,1599780.74,Education
395,Nazareth Area High School,5646284.96,1882094.99,1599780.74,Education
396,Thomasburg School,5646284.96,1882094.99,1599780.74,Education
397,Elwood School,5646284.96,1882094.99,1599780.74,Education
398,Fox School,5646284.96,1882094.99,1599780.74,Education
399,Polk Valley School,5646284.96,1882094.99,1599780.74,Education
400,Klein School,5646284.96,1882094.99,1599780.74,Education
401,Amity School,5646284.96,1882094.99,1599780.74,Education
402,Franklin School,5646284.96,1882094.99,1599780.74,Education
403,Penn School,5646284.96,1882094.99,1599780.74,Education
404,West Springtown School,5646284.96,1882094.99,1599780.74,Education
405,Black River School,5646284.96,1882094.99,1599780.74,Education
406,Totts Gap School,5646284.96,1882094.99,1599780.74,Education
407,Quaker Plain School,5646284.96,1882094.99,1599780.74,Education
408,Thomas School,5646284.96,1882094.99,1599780.74,Education
409,Fells School,5646284.96,1882094.99,1599780.74,Education
410,Hartzell School,5646284.96,1882094.99,1599780.74,Education
411,Miller School,5646284.96,1882094.99,1599780.74,Education
412,Farrow School,5646284.96,1882094.99,1599780.74,Education
413,Bitz School,5646284.96,1882094.99,1599780.74,Education
414,Teel School,5646284.96,1882094.99,1599780.74,Education
415,Smith School,5646284.96,1882094.99,1599780.74,Education
416,Franklin Hill School,5646284.96,1882094.99,1599780.74,Education
417,Lehigh School,5646284.96,1882094.99,1599780.74,Education
418,Bell School,5646284.96,1882094.99,1599780.74,Education
419,Wagner School,5646284.96,1882094.99,1599780.74,Education
420,Circle School,5646284.96,1882094.99,1599780.74,Education
421,Arndt School,5646284.96,1882094.99,1599780.74,Education
422,Brinker School,5646284.96,1882094.99,1599780.74,Education
423,Chief Tatamy School,5646284.96,1882094.99,1599780.74,Education
424,Hopeville School,5646284.96,1882094.99,1599780.74,Education
425,Mount Pleasant School,5646284.96,1882094.99,1599780.74,Education
426,Bougher Hill School,5646284.96,1882094.99,1599780.74,Education
427,Stouts School,5646284.96,1882094.99,1599780.74,Education
428,Stony Point School,5646284.96,1882094.99,1599780.74,Education
429,Trauger School,5646284.96,1882094.99,1599780.74,Education
430,Lone Cottage School,5646284.96,1882094.99,1599780.74,Education
431,Schoch School,5646284.96,1882094.99,1599780.74,Education
