lat,lon,org_id,type,name,county
40.2899751352396,-74.78529326629243,,Residential,Home 56,Salem
39.84233075558234,-75.542674288743,,Residential,Home 57,Warren
40.201297832446365,-74.44490265055005,,Residential,Home 58,Gloucester
39.205461383772,-74.46308047286567,,Residential,Home 59,Camden
41.05519024226479,-74.94404434046842,,Residential,Home 60,Cape May
40.67783733702169,-74.57859945525158,,Residential,Home 61,Salem
39.49237576384707,-74.87389220679707,,Residential,Home 62,Morris
41.096336671133685,-75.51906147233277,,Residential,Home 63,Ocean
40.93945721915354,-74.17313435578279,,Residential,Home 64,Atlantic
39.16462736096191,-74.98488784116444,,Residential,Home 65,Atlantic
39.508696928773816,-73.86460459937555,,Residential,Home 66,Hunterdon
40.38593563011115,-73.8627170510253,,Residential,Home 67,Sussex
40.58083076063413,-73.99410004443457,,Residential,Home 68,Salem
39.598616295766405,-74.07722117400479,,Residential,Home 69,Morris
40.199111289258724,-75.59850758340963,,Residential,Home 70,Morris
40.48872323741874,-75.10400797614169,,Residential,Home 71,Monmouth
39.56952214069482,-75.02027169418614,,Residential,Home 72,Ocean
40.694240481071,-74.17863868244834,,Residential,Home 73,Camden
41.10753161206604,-75.59028133649934,,Residential,Home 74,Essex
39.19772946401038,-74.58905371323642,,Residential,Home 75,Cape May
