id,name,avg_revenue,avg_bills
236,NuView Academy,2963979.18,2685929.33
237,Holy Cross School Building,2219073.28,1472561.93
238,Holy Cross School,390599.25,271995.01
239,Holy Family Academy,3757036.4,2463781.39
240,Holy Family Elementary School,2765142.93,2450146.6
241,Good Shepherd Academy,188206.16,161955.42
242,Holy Trinity Regional School,2075871.73,1653744.12
243,Holy Rosary School,1149073.13,815525.41
244,Holy Saviour Regional School,636741.97,563653.27
245,Hopewell School,4925328.82,3651891.65
246,Horace Mann Elementary School,3201520.61,2010120.49
247,Howell School,4923587.64,4614774.38
248,Hubbard Middle School,2623928.52,2389321.62
249,Hurden-Looker Elementary School,4723124.35,3090023.32
250,Felician University,3037463.02,2248613.17
251,Immaculate Conception Seminary,3113096.29,2471563.4
252,Immaculate Heart of Mary School,1110242.33,666153.83
253,Jefferson Elementary School,1834443.64,1222152.66
254,Thomas Jefferson Middle School,326418.09,270307.28
255,Jericho School,4620046.62,3238172.37
256,New Jersey City University,1176687.34,1079165.06
257,John F Kennedy Memorial Elementary School,2334869.04,1632131.94
258,John Glenn Elementary School,410631.38,268093.19
259,Marquis de Lafayette Elementary School,4128936.79,3715340.72
260,Junior High School Number 5,3212198.64,2339247.46
261,Kealy School,2802907.78,2345327.51
262,Kingman School,3501712.67,2877600.65
263,Kingston Elementary School,4921450.83,2975005.0
264,Kingsway Regional High School,950346.41,888775.32
265,A Russell Knight Elementary School,2929827.23,2490858.09
266,LaMonte Elementary School,3784526.41,2678629.66
267,Lafayette Elementary School,4023944.05,2768701.36
268,Lafayette School,2753995.1,2399341.95
269,Lafayette Learning Center,2534739.21,1602971.38
270,Lake School,4611427.36,3751119.39
271,Lake Tract Elementary School,1614827.47,1445381.32
272,Lanning School,3464497.3,2334647.02
273,Lanning Square Elementary School,3614643.46,2344083.17
274,Captain James Lawrence Elementary School,4464383.5,3695440.0
275,Leesburg School,3993480.13,2907224.73
276,Charles W Lewis Middle School,750979.19,602593.74
277,Liberty School,3411193.19,2989137.09
278,Lincoln High School,3379499.76,2760928.89
279,Doctor Charles C Polk School,3830962.66,3619895.43
280,Dionne Warwick Institute,4130371.43,2649736.01
281,Lincoln School,874891.86,587750.09
282,Number 9 Elementary School,1603503.8,1324693.98
283,Lincoln middle School,86844.34,63202.13
284,Abraham Lincoln Elementary School,2145716.4,1554248.35
285,Carlstadt Public School,4316459.87,3114878.66
286,Lindbergh Elementary School,4910642.43,3763851.58
287,Linden Avenue Elementary School,2990669.17,2095058.87
288,Little School,2736545.88,2242734.89
289,Livingston Park Elementary School,2516079.95,1997457.77
290,Longfellow Elementary School,793718.25,527108.39
291,Loudenslager Elementary School,950729.55,646386.84
292,Lowell Elementary School,4842614.21,3504892.25
293,Lower Berkshire Valley School,1094662.02,775289.04
294,Ludlams School,92741.02,83444.3
295,Martin Luther Christian School,4672141.41,3163185.46
296,Lyncrest Elementary School,633657.64,462699.01
297,Malcolm S Mackay Elementary School,86380.74,77874.84
298,Kings Road Elementary School,2603876.97,1634040.52
299,Mantua Terrace School,1172174.59,941386.55
300,Marist High School,1731311.3,1245702.28
301,Mark Twain School,4621404.35,2832015.64
302,Marylawn of the Oranges High School,2784931.04,2439064.67
303,McGinnis School,1064202.74,978617.03
304,McKee City School,3291256.59,3101367.84
305,McKenzie School,4412613.33,3109697.16
306,McKinley School,3456567.69,2075554.99
307,Myles J McManus Elementary School,1982674.95,1813274.4
308,Merritt Memorial Elementary School,2729831.15,1681238.39
309,Midland Elementary School,3495026.18,2684344.93
310,Midland Elementary School Number 1,1642804.43,1496106.89
311,Magowan Elementary School,553379.33,447249.7
312,Samuel Miller School,3213180.12,2634942.22
313,Milton Avenue Elementary School,2128030.13,1409093.93
314,Private Nicholas Minue Elementary School,575867.08,420044.84
315,Madison-Monroe Elementary School,3500688.34,2657499.41
316,Montclair Academy,3133853.46,2053747.49
317,Montgomery Street High School,171390.6,134614.98
318,Memorial Elementary School,3835441.41,3514088.28
319,Monument Elementary School,1839595.43,1238410.58
320,Irvington High School,2488914.49,1873385.03
321,Morris Park School Site,4311028.78,3450968.29
322,Robert Morris Elementary School;Robert Morris School,348255.57,231062.56
323,Morrow Schools,1637851.6,1010931.91
324,Mott Elementary School,2340996.43,1879010.01
325,Mount Carmel School,3891306.27,3249702.17
326,Passaic Arts & Science Charter School,2559415.51,1727538.58
327,Our Lady of Mount Carmel School,3223213.06,2910783.73
328,Buzz Aldrin Middle School,846006.13,717910.38
329,Mount Pleasant School,2208270.33,1915822.9
330,Former Mount Saint Francis School,763591.02,624536.18
331,Mount Saint Mary Academy High School,4376895.15,2678260.06
332,Mountainside School,4832117.46,4519880.54
333,Victor Mravlag Elementary School,3470389.93,2855792.4
334,Alfred S Faust School,4432707.03,3722869.92
335,Peter Muschal School,4019470.65,2854950.48
336,Ecole T Louverture Elementary School,61123.97,40588.92
337,Nathan Hale Elementary School,106715.44,65641.82
338,Nesco School,2364980.95,1681191.98
339,New Albany Elementary School,3878204.21,3616342.65
340,Newark Academy,3790921.78,3339454.41
341,Mark Newbie Elementary School,4756985.4,2899318.79
342,Newstead School,162222.35,138122.31
343,Nishuane Elementary School,375823.76,354799.65
344,Gould-Mountain Elementary School,4403683.95,3840281.48
345,North School,1640330.41,1108443.47
346,Oak View Elementary School,2614272.9,2357238.02
347,Oakwood Avenue Elementary School,3149411.22,2604506.51
348,Oratory School,1961673.26,1376361.72
349,Dane Barse School,766587.74,580024.19
350,Our Lady of Lourdes School,3792886.82,3145957.46
351,Our Lady of Peace School,1723454.19,1336880.23
352,Our Lady of Sorrows School,4759556.76,3822102.56
353,Our Lady Help of the Christians Parochial School,4774346.21,3722944.82
354,Our Lady of Grace Holy Rosary Regional School,2631908.7,2066144.38
355,Our Lady of Mercy School,1933874.29,1497129.76
356,Park Avenue Elementary School,1981607.42,1640047.2
357,Parker Elementary School,4878298.4,3702787.82
358,Parkview Elementary School,114765.09,100224.72
359,Pascack Valley Regional High School,527895.3,348037.4
360,Penn School,4753517.51,3816867.09
361,Howard M Phifer Middle School,4195097.32,3952707.64
362,Lafayette Pershing Elementary School,1701520.7,1588905.36
363,Pierrepont Elementary School,3751769.17,2954693.81
364,Number 1 Elementary School,2845307.9,2103353.72
365,Prospect Park Elementary School,1169412.51,747168.31
366,Number 10 Elementary School,1812278.34,1394329.9
367,Number 11 Elementary School,3256369.23,2722922.34
368,Number 12 Elementary School,3514170.96,2210502.18
369,John M Bailey Number 12 Elementary School,3929718.15,3675035.45
370,Elementary School 14,2563656.14,2046320.76
371,Elementary School 15,4513382.02,3562852.39
372,School 20,3298722.42,2931269.61
373,Number 24 Elementary School,604397.76,404999.15
374,Number 25 Elementary School,1701708.55,1554860.02
375,Number 3 Elementary School,2466371.49,1743384.45
376,School 3,4155015.73,3510144.25
377,Number 4 Elementary School,4294126.89,3635015.53
378,Number 5 Elementary School,3096372.73,1860152.81
379,Elementary School 5,153880.63,135505.4
380,Pulaski Elementary School,2096087.61,1890185.0
381,Mastery High School,1756425.24,1261637.65
382,Queen of Peace Grammar School,1303498.83,886594.47
383,Queen of the Rosary School,2732490.0,2290756.38
384,Quenten School,1667716.79,1569159.81
385,Quitman Community School,2121504.92,1507177.8
386,Rava Farms School,4483657.41,4156729.32
387,Red Bank School Number 1,2434172.54,2278723.85
388,Red Bank Elementary School,2679572.95,1942271.43
389,Reese School,4655333.03,3797413.89
390,J Harvey Rodgers School,4391834.05,3923106.89
391,Mabel G. Holmes School No. 5,2914328.04,2597968.38
392,Roosevelt Elementary School,4693394.9,4049050.01
393,Roosevelt School,4062393.95,3200605.09
394,John A Forrest Elementary School,4249480.44,3738186.28
395,Rudeville School,4067634.8,2526953.49
396,Rutgers College of Agriculture,2038614.05,1918296.77
397,Kearny Christian Academy,4249272.68,3854804.2
398,Sacred Heart Elementary School,3580922.4,3033589.6
399,Sacred Heart School,683999.43,486631.35
400,Sacred Heart Schools,3456128.23,2547392.95
401,Saint Aedans School,1008680.11,797714.74
402,Saint Agnes School,462266.26,361307.93
403,Saint Aloysius Academy,1498876.89,1360144.81
404,Saint Aloysius School,3094312.98,2782691.67
405,Saint Andrews School,838768.48,787061.36
406,Saint Annes School,902765.73,550176.42
407,Saint Anne's School,308778.74,203019.42
408,Saint Anthonys School,4589538.86,3598154.89
409,Saint Anthony's School,360870.37,329343.81
410,Saint Bernards School,2609201.88,1906865.26
411,Gill Saint Bernards School,4867717.78,3940444.43
412,Saint Brendan School,758592.8,533256.56
413,Saint Casimir Elementary School,452547.39,338641.89
414,Saint Cassian School,4004823.66,3631275.77
415,Saint Catherine School,4153359.77,3162107.34
416,Saint Catherines School,2105012.76,1879820.07
417,Saint Cecilia Elementary School,1330722.63,1227930.28
418,Saint Cecilias School,3190249.82,2918197.48
419,Saint Christophers School,1728786.44,1448709.1
420,Saint Cloud Elementary School,1546434.24,1107168.25
421,Collier High School,3540618.46,2345947.61
422,Saint Edwards School,1484978.08,1336320.5
423,Saint Elias School,4642535.61,2852307.28
424,Saint Elizabeths School,2149723.61,1485076.65
425,Saint Francis de Sales Regional School,1052192.61,860733.75
426,Saint Geneview School,4867327.33,3008606.71
427,Saint George School,3433410.36,3028007.56
428,Saint Hedwig School,846560.76,746183.8
429,Saint Henrys School,762669.06,462817.01
430,Bishop Guilfoyle Regional Catholic School,4083795.0,2940019.05
431,Saint James School,4100213.94,3752398.93
432,Saint Joachims School,4592699.78,3173162.57
433,Saint John the Baptist School,959191.89,869490.36
434,Saint Johns Academy,1952628.25,1841143.17
435,Saint Johns School,4989786.28,3579685.57
436,Saint Joseph School,2162577.37,1489710.94
437,Saint Joseph's Preparatory Seminary,1558255.0,1396780.48
438,Saint Josephs School,1989297.43,1698092.21
439,Saint Joseph Elementary School,3363090.84,2569874.19
440,Saint Lawrence Regional School,3910699.92,2409351.63
441,Saint Leos School,1200431.33,747382.74
442,Saint Luke Catholic School,1464116.66,950881.86
443,Saint Margarets School,4628542.61,4346420.22
444,Saint Marguerites School,4165173.15,3000526.3
445,Saint Marys High School,182153.72,160884.79
446,Saint Marys School,1925829.75,1161622.25
447,Saint Marys Early Childhood Center School,472082.56,400505.26
448,Saint Mary of the Assumption High School,623992.24,423576.89
449,Saint Matthew School,1937011.71,1472427.45
450,Saint Matthews School,640777.49,573715.57
451,Guardian Angels Regional Catholic School,1064365.36,860102.88
452,Saint Michaels School,1036320.1,717923.31
453,Saint Nicholas School,311191.72,188529.99
454,Saint Patrick School,1223294.81,1136687.94
455,Saint Patrick Elementary School,1686801.47,1336979.0
456,Saint Patrick's Grammar School,4021424.03,3540922.05
457,Saint Patricks School,4665205.88,4264737.81
458,Saint Pauls School,1766843.82,1212114.54
459,Resurrection Catholic School,1310387.37,1191158.55
460,Saint Peter Academy,1789195.25,1269455.32
461,Saint Phillip the Apostle School,2329136.81,2076720.21
462,Aquinas Academy School,3832350.02,3615932.1
463,Saint Stanislaus Kostka School,3811442.8,3566992.72
464,Saint Stephens School,718353.86,599022.75
465,Saint Teresa Regional School,2770277.52,2046288.44
466,Saint Theresa's School,4334319.42,3126169.65
467,Saint Thereses School,1083319.33,1004752.94
468,Saint Vincent de Paul School,1821403.87,1545907.33
469,Saints Peter and Paul School,2368866.25,2246730.92
470,Saybrook Elementary School,1536740.46,1330691.96
471,Mullica Township Elementary School,356188.8,229536.74
472,Thomas Jefferson Elementary School,975283.25,650519.74
473,Highland Avenue Elementary School,1736199.39,1529190.82
474,School Number 10,1523418.79,1060045.07
475,Midtown Community Elementary School,4084416.44,2641964.36
476,William B. Cruise Veterans Memorial School No. 11,2725117.02,2087878.53
477,Julia A Barnes Number 12 Elementary School,3186735.38,1982503.75
478,Number 14 Elementary School,4836773.3,2949291.35
479,Whitney M Young Junior Middle School,3594624.58,2522734.33
480,Cornelia F. Bradford Number 16 Elementary School,295861.6,187159.64
481,Evergreen Youth Center,4067353.22,3375213.07
482,Joseph H Brensinger Number 17 Elementary School,1413860.81,1103832.02
483,School Number 18,2399553.11,1989127.73
484,Anthony V Ceres Elementary School,1811736.81,1519466.04
485,Phillip G Vroom Number 2 Elementary School,1736013.66,1154646.76
486,School Number 2,720275.6,655624.92
487,Slocum-Skewes Elementary School,2366042.25,2247229.47
488,Number 2 Elementary School,3907240.88,2488579.45
489,Number 20 Elementary School,1561673.58,1102418.82
490,Number 23 Elementary School,1309037.68,1018734.75
491,Nicolas Copernicus Number 25 Elementary School,3734151.44,2379269.43
492,School Number 3,1053300.21,770595.91
493,Haviland Avenue Elementary School,504586.82,436641.33
494,Anthony J Infante Number 31 Elementary School,1780034.34,1289098.14
495,Fort Lee School № 3,3422995.34,2989949.0
496,E Roy Bixby Elementary School,1136277.34,1075174.56
497,Alexander D. Sullivan Number 30 Elementary School,3755606.04,3270610.01
498,PS 34: Barack Obama Elementary School,4003421.53,2533569.54
499,James F Murray Number 38 Elementary School,4981735.99,3336745.62
500,Doctor Charles P DeFuccio Number 39 Elementary School,4999568.02,3602962.04
501,School Number 4,390007.71,244485.82
502,Bangs Avenue Elementary School,4301106.64,3221562.46
503,School Number 41,4567763.36,3880225.57
504,School Number 5,1365655.02,1188679.07
505,Lindenwold Number Five Elementary School,1497351.73,1357874.42
506,Lincoln Number 5 Elementary School,1750829.69,1586577.88
507,Number 6 Elementary School,2772597.52,2567817.63
508,Horace Mann Number 6 Elementary School,4378898.29,3813787.15
509,Jotham W. Wakeman No. 6. Elementary School,3482406.13,3222834.1
510,Martin Luther King Junior School,645172.03,542810.38
511,Number 7 Elementary School,171616.62,146597.14
512,School Number 7,4205100.5,3634219.32
513,Number 8 Elementary School,2206078.19,1649722.06
514,School Number 9,3335037.32,2174992.85
515,Childrens Specialized Hospital School,3988314.18,2823194.85
516,East Orange STEM Academy,4080259.51,3180998.99
517,Winfield Scott Elementary School,2908047.65,2346708.62
518,Seventh Avenue Elementary School,822588.57,536497.64
519,Shackamaxon School,4321286.68,3869370.55
520,Shady Lane Elementary School,151654.97,139954.19
521,Shaler Academy,1960408.59,1192529.6
522,Thomas Sharp Elementary School,2524221.47,2126351.65
523,Sherman Elementary School,897182.04,780672.42
524,Shimer School,1283843.16,1008269.26
525,Sinai School,3706193.24,3465875.06
526,Sitgreaves School,1468036.48,1021216.7
527,J Spencer Smith Elementary School,2213800.8,1689083.82
528,Henry Snyder High School,3887134.04,3582339.9
529,Somerdale School,2547508.09,1698065.83
530,Somerset Elementary School,4070476.89,3454408.02
531,Former Martin Luther King Junior Elementary School,3692051.69,2356080.06
532,Squiretown School,724514.21,545438.92
533,Steelmanville School,2891614.36,2718926.44
534,Charles H Stillman Elementary School,4631616.88,3472296.05
535,Walter Stillman Elementary School,671080.62,611106.34
536,Gordon Parks Academy Elementary School,3801620.77,3057972.59
537,Joseph Stokes Memorial Elementary School,1387769.77,1057626.54
538,Stony Brook School,2315506.01,2191385.16
539,Stoy Elementary School,4695823.48,3640684.18
540,Stratford Academy,1323521.28,1102539.27
541,Summit Avenue School,2018782.96,1576122.37
542,Suz Anne School,2114347.06,1910168.02
543,Tansboro School,872623.5,625844.49
544,William P Tatem Elementary School,914678.82,858958.97
545,J Fithian Tatem Elementary School,976931.46,887026.4
546,Technical School,2192757.62,2033259.29
547,Tenafly High School,589421.71,488636.27
548,Tenakill Middle School,3407457.7,3199864.01
549,Township Central School,684198.73,537110.1
550,Treat School,2258724.75,1664175.05
551,Tuscan Elementary School,4001494.37,2656400.06
552,Union Avenue Middle School,3376485.97,2116120.88
553,Union School,2809207.26,1909307.53
554,Union Elementary School,3836800.16,2455656.42
555,United Hebrew School,1613966.5,1242952.79
556,Upper Pittsgrove School,2149930.01,1782097.32
557,Vail School,1957894.48,1702487.18
558,Eleanor Van Gelder Elementary School,1936551.09,1582565.92
559,Van Sciver Elementary School,1662184.31,1520846.12
560,Village School,1084831.62,964674.71
561,Mary E Volz Elementary School,2713688.2,2275764.83
562,Wade School,1633753.54,1094360.42
563,W C K Walls Elementary School,974999.2,647273.09
564,Walsh High School,2460176.58,1580941.08
565,Wanamassa Elementary School,2887391.03,1819911.05
566,Samuel S Yellin Elementary School,2257855.68,1363009.04
567,Washington Irving Elementary School,841792.93,528840.22
568,Washington School,2621116.56,1683366.73
569,Washington Community Elementary School,1047194.37,840697.25
570,Washington Elementary School,624745.17,388111.49
571,Washington Number 9 Elementary School,4861751.13,3103742.75
572,Washington Academy Elementary School,349905.45,286351.8
573,Washington Street Elementary School,1681411.2,1262030.84
574,Watchung Elementary School,3260562.32,2401135.56
575,Watchung School,2166110.94,1993605.03
576,Weber School,3928485.26,3205490.9
577,Weequahic High School,2418879.94,1822911.45
578,West Amwell School,1281511.23,831226.69
579,West Milford School,1375411.69,1023538.5
